conversation_id,sender,message,timestamp
en_95,user,I'm feeling sick,2025-05-05 18:26:51
en_95,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-05-18 01:07:02
en_96,user,I feel dizzy,2025-04-26 17:51:08
en_96,bot,Have you eaten or drunk anything unusual today?,2025-03-12 02:02:37
en_97,user,What should I take for a cold?,2025-03-09 01:29:55
en_97,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-06-19 23:13:35
en_98,user,I'm not sleeping well,2025-03-19 09:59:38
en_98,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-03-08 08:50:02
en_99,user,I'm feeling sick,2025-01-31 10:42:20
en_99,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-03-18 07:26:48
en_100,user,I'm not sleeping well,2025-03-12 03:14:24
en_100,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-05-26 19:25:32
en_101,user,I'm feeling sick,2025-07-10 20:20:29
en_101,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-01-30 13:41:07
en_102,user,What should I take for a cold?,2025-01-12 18:24:39
en_102,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-05-26 13:46:39
en_103,user,I have a headache,2025-03-02 12:19:38
en_103,bot,How long have you had the headache?,2025-01-27 19:39:40
en_104,user,I'm feeling sick,2025-05-20 14:26:37
en_104,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-01-23 21:35:06
en_105,user,I have a headache,2025-06-20 01:28:49
en_105,bot,How long have you had the headache?,2025-03-09 12:37:32
en_106,user,I feel dizzy,2025-05-01 23:14:16
en_106,bot,Have you eaten or drunk anything unusual today?,2025-02-04 19:37:07
en_107,user,I feel dizzy,2025-04-29 05:05:58
en_107,bot,Have you eaten or drunk anything unusual today?,2025-01-31 16:45:49
en_108,user,I'm feeling sick,2025-06-02 16:04:17
en_108,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-05-18 13:39:02
en_109,user,I have a headache,2025-06-12 00:28:35
en_109,bot,How long have you had the headache?,2025-02-26 14:48:18
en_110,user,What should I take for a cold?,2025-05-01 09:07:46
en_110,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-06-05 09:18:05
en_111,user,What should I take for a cold?,2025-05-25 06:04:46
en_111,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-06-25 00:37:30
en_112,user,What should I take for a cold?,2025-03-01 19:55:13
en_112,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-02-03 01:21:45
en_113,user,I'm feeling sick,2025-05-07 15:17:27
en_113,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-03-03 06:25:28
en_114,user,I have a headache,2025-02-02 13:05:02
en_114,bot,How long have you had the headache?,2025-05-22 12:24:09
en_115,user,I'm not sleeping well,2025-03-25 08:47:37
en_115,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-01-10 06:51:53
en_116,user,I'm not sleeping well,2025-05-19 18:24:26
en_116,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-04-22 21:01:25
en_117,user,I have a headache,2025-04-07 11:58:29
en_117,bot,How long have you had the headache?,2025-02-16 18:11:51
en_118,user,I'm feeling sick,2025-05-07 14:27:17
en_118,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-01-15 12:24:26
en_119,user,I'm feeling sick,2025-06-10 00:45:28
en_119,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-04-06 12:08:04
en_120,user,I'm feeling sick,2025-01-19 20:14:26
en_120,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-07-05 08:02:09
en_121,user,What should I take for a cold?,2025-01-13 11:32:46
en_121,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-03-20 23:00:32
en_122,user,I feel dizzy,2025-01-18 05:28:09
en_122,bot,Have you eaten or drunk anything unusual today?,2025-06-05 12:29:20
en_123,user,I'm feeling sick,2025-02-28 16:00:34
en_123,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-03-28 18:29:00
en_124,user,I feel dizzy,2025-05-22 19:58:21
en_124,bot,Have you eaten or drunk anything unusual today?,2025-02-06 05:59:12
en_125,user,What should I take for a cold?,2025-05-23 05:15:52
en_125,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-06-19 11:28:01
en_126,user,I have a headache,2025-05-07 03:23:10
en_126,bot,How long have you had the headache?,2025-05-26 05:41:28
en_127,user,What should I take for a cold?,2025-05-08 15:07:12
en_127,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-01-03 02:33:35
en_128,user,I feel dizzy,2025-05-11 04:21:00
en_128,bot,Have you eaten or drunk anything unusual today?,2025-04-19 02:46:35
en_129,user,I feel dizzy,2025-01-09 06:13:28
en_129,bot,Have you eaten or drunk anything unusual today?,2025-03-02 10:40:10
en_130,user,What should I take for a cold?,2025-01-19 17:15:02
en_130,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-03-10 23:56:19
en_131,user,I feel dizzy,2025-01-11 15:51:44
en_131,bot,Have you eaten or drunk anything unusual today?,2025-02-27 21:29:23
en_132,user,I'm feeling sick,2025-04-06 17:28:57
en_132,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-04-25 17:51:19
en_133,user,I have a headache,2025-04-28 23:20:47
en_133,bot,How long have you had the headache?,2025-03-13 11:20:16
en_134,user,I have a headache,2025-01-11 04:42:45
en_134,bot,How long have you had the headache?,2025-07-17 08:38:52
en_135,user,I feel dizzy,2025-02-01 21:45:00
en_135,bot,Have you eaten or drunk anything unusual today?,2025-05-25 15:46:11
en_136,user,I feel dizzy,2025-07-06 15:50:32
en_136,bot,Have you eaten or drunk anything unusual today?,2025-03-08 17:36:21
en_137,user,I have a headache,2025-05-05 21:37:23
en_137,bot,How long have you had the headache?,2025-07-04 11:00:07
en_138,user,I have a headache,2025-07-17 10:13:21
en_138,bot,How long have you had the headache?,2025-06-12 04:26:48
en_139,user,I'm feeling sick,2025-06-16 09:45:22
en_139,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-03-19 04:17:10
en_140,user,What should I take for a cold?,2025-06-18 03:50:24
en_140,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-03-31 07:55:28
en_141,user,I feel dizzy,2025-04-23 20:53:12
en_141,bot,Have you eaten or drunk anything unusual today?,2025-05-05 19:00:53
en_142,user,I feel dizzy,2025-03-03 11:55:45
en_142,bot,Have you eaten or drunk anything unusual today?,2025-07-15 15:55:49
en_143,user,I'm not sleeping well,2025-04-03 20:14:35
en_143,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-03-09 13:48:00
en_144,user,I have a headache,2025-04-30 03:40:28
en_144,bot,How long have you had the headache?,2025-07-13 23:09:37
en_145,user,I'm not sleeping well,2025-02-06 02:29:27
en_145,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-01-01 12:22:45
en_146,user,I have a headache,2025-02-18 22:08:27
en_146,bot,How long have you had the headache?,2025-06-10 11:03:16
en_147,user,What should I take for a cold?,2025-03-31 15:46:43
en_147,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-04-05 05:29:50
en_148,user,I have a headache,2025-04-06 06:41:28
en_148,bot,How long have you had the headache?,2025-06-06 23:56:18
en_149,user,I have a headache,2025-03-22 23:23:06
en_149,bot,How long have you had the headache?,2025-06-06 19:27:45
en_150,user,I feel dizzy,2025-01-07 21:15:56
en_150,bot,Have you eaten or drunk anything unusual today?,2025-06-26 00:26:35
en_151,user,I'm feeling sick,2025-03-20 09:07:37
en_151,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-06-01 08:46:08
en_152,user,I feel dizzy,2025-05-30 13:53:15
en_152,bot,Have you eaten or drunk anything unusual today?,2025-05-21 04:36:07
en_153,user,I'm feeling sick,2025-02-21 19:14:42
en_153,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-04-20 03:01:19
en_154,user,I'm feeling sick,2025-04-11 03:51:33
en_154,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-04-11 14:57:19
en_155,user,I feel dizzy,2025-06-23 20:51:50
en_155,bot,Have you eaten or drunk anything unusual today?,2025-05-21 18:26:09
en_156,user,I'm not sleeping well,2025-01-03 23:03:11
en_156,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-03-14 14:19:15
en_157,user,I'm feeling sick,2025-06-29 14:47:56
en_157,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-02-22 14:03:25
en_158,user,What should I take for a cold?,2025-01-26 21:20:31
en_158,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-01-11 23:11:47
en_159,user,What should I take for a cold?,2025-01-24 21:15:28
en_159,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-03-16 20:53:04
en_160,user,What should I take for a cold?,2025-04-24 14:56:57
en_160,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-06-24 18:43:07
en_161,user,I'm not sleeping well,2025-02-19 04:09:15
en_161,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-07-05 07:27:07
en_162,user,I feel dizzy,2025-03-24 16:27:18
en_162,bot,Have you eaten or drunk anything unusual today?,2025-02-27 08:44:04
en_163,user,I'm feeling sick,2025-02-02 23:26:53
en_163,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-05-03 12:40:49
en_164,user,I have a headache,2025-05-17 23:06:10
en_164,bot,How long have you had the headache?,2025-06-17 09:04:53
en_165,user,I have a headache,2025-01-17 21:39:07
en_165,bot,How long have you had the headache?,2025-01-12 11:41:34
en_166,user,What should I take for a cold?,2025-05-08 01:16:27
en_166,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-05-31 21:16:20
en_167,user,I have a headache,2025-06-04 07:35:20
en_167,bot,How long have you had the headache?,2025-03-15 12:54:57
en_168,user,I feel dizzy,2025-06-12 21:35:37
en_168,bot,Have you eaten or drunk anything unusual today?,2025-05-14 05:20:31
en_169,user,What should I take for a cold?,2025-05-06 12:14:19
en_169,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-06-18 12:21:05
en_170,user,I have a headache,2025-06-18 05:25:01
en_170,bot,How long have you had the headache?,2025-06-16 16:43:00
en_171,user,What should I take for a cold?,2025-06-03 23:03:52
en_171,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-03-08 12:31:57
en_172,user,I'm not sleeping well,2025-04-12 07:44:05
en_172,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-03-23 01:18:46
en_173,user,I have a headache,2025-07-08 23:48:30
en_173,bot,How long have you had the headache?,2025-03-30 21:29:55
en_174,user,I'm feeling sick,2025-01-17 18:35:37
en_174,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-05-29 15:18:14
en_175,user,I feel dizzy,2025-01-06 22:45:59
en_175,bot,Have you eaten or drunk anything unusual today?,2025-02-18 08:52:49
en_176,user,What should I take for a cold?,2025-03-01 18:38:34
en_176,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-03-14 13:18:09
en_177,user,I have a headache,2025-02-20 20:41:28
en_177,bot,How long have you had the headache?,2025-04-05 06:56:21
en_178,user,I have a headache,2025-02-10 00:49:01
en_178,bot,How long have you had the headache?,2025-01-15 03:16:41
en_179,user,I'm not sleeping well,2025-01-12 01:32:39
en_179,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-03-11 05:31:37
en_180,user,I'm feeling sick,2025-07-04 03:39:05
en_180,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-02-23 08:09:28
en_181,user,I'm feeling sick,2025-06-08 11:23:03
en_181,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-03-28 21:31:53
en_182,user,I feel dizzy,2025-06-08 08:19:55
en_182,bot,Have you eaten or drunk anything unusual today?,2025-05-25 16:30:08
en_183,user,What should I take for a cold?,2025-06-20 11:37:21
en_183,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-03-10 18:03:56
en_184,user,What should I take for a cold?,2025-05-03 01:15:18
en_184,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-03-31 16:40:20
en_185,user,I feel dizzy,2025-07-09 19:30:05
en_185,bot,Have you eaten or drunk anything unusual today?,2025-01-05 10:27:29
en_186,user,I'm feeling sick,2025-04-01 15:24:49
en_186,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-03-01 10:30:38
en_187,user,I have a headache,2025-07-17 09:41:25
en_187,bot,How long have you had the headache?,2025-01-30 20:34:49
en_188,user,I'm not sleeping well,2025-05-28 10:23:51
en_188,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-02-10 21:38:27
en_189,user,I have a headache,2025-06-23 11:11:01
en_189,bot,How long have you had the headache?,2025-03-23 01:59:33
en_190,user,What should I take for a cold?,2025-05-07 00:48:24
en_190,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-06-15 04:42:34
en_191,user,I feel dizzy,2025-01-30 02:05:34
en_191,bot,Have you eaten or drunk anything unusual today?,2025-01-28 14:24:56
en_192,user,What should I take for a cold?,2025-01-26 10:26:28
en_192,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-01-16 14:53:46
en_193,user,I have a headache,2025-04-20 19:09:15
en_193,bot,How long have you had the headache?,2025-01-31 11:33:55
en_194,user,I feel dizzy,2025-01-22 03:23:09
en_194,bot,Have you eaten or drunk anything unusual today?,2025-03-27 05:00:10
en_195,user,I have a headache,2025-06-17 16:44:01
en_195,bot,How long have you had the headache?,2025-04-15 21:26:37
en_196,user,I'm not sleeping well,2025-04-13 12:40:32
en_196,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-06-15 12:33:44
en_197,user,I'm feeling sick,2025-06-26 12:34:41
en_197,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-01-09 18:50:41
en_198,user,What should I take for a cold?,2025-01-15 16:34:55
en_198,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-01-29 09:24:07
en_199,user,What should I take for a cold?,2025-03-22 00:35:37
en_199,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-06-07 21:07:25
en_200,user,What should I take for a cold?,2025-03-13 17:11:23
en_200,bot,You can take paracetamol and rest. Drink lots of fluids.,2025-06-24 07:35:19
en_201,user,I'm not sleeping well,2025-01-08 09:37:53
en_201,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-06-16 16:22:56
en_202,user,I'm feeling sick,2025-02-12 20:39:10
en_202,bot,I'm sorry to hear that. Can you tell me your symptoms?,2025-06-05 00:30:12
en_203,user,I feel dizzy,2025-03-30 10:45:55
en_203,bot,Have you eaten or drunk anything unusual today?,2025-01-30 01:36:40
en_204,user,I feel dizzy,2025-01-19 16:11:24
en_204,bot,Have you eaten or drunk anything unusual today?,2025-06-29 15:57:01
en_205,user,I'm not sleeping well,2025-05-16 17:06:36
en_205,bot,Sleep issues can be caused by stress. Would you like some tips?,2025-01-20 22:00:56
en_206,user,I have a headache,2025-06-27 05:46:49
en_206,bot,How long have you had the headache?,2025-07-17 16:22:13
en_207,user,I feel dizzy,2025-02-08 05:02:15
en_207,bot,Have you eaten or drunk anything unusual today?,2025-03-23 06:52:11
en_208,user,I feel dizzy,2025-05-22 19:44:01
